pagnr,zpsex,zpage,w1_q88,w1_q107,w1_q115,w1_q116,w1_q4,w2_q4,w1_q5x1,w2_q2x1,w1_q6x1,w1_q7,w2_q3,w1_q8,w1_q12,w1_q43,w1_q44,w1_q48x1,w1_q48x2,w1_q48x3,w1_q48x4,w1_q48x5,w1_q48x6,w2_q15,w1_q49,w2_q14,w1_q50,w1_q51,w1_quiz,w2_quiz,w1_q21,w1_q22,w1_q26x1,w1_q26x2,w1_q26x3,w1_q26x4,w1_q26x5,w1_q26x6,w1_q26x7,w1_q26x8,w1_q26x9,w1_q26x10,w1_q26x11,w1_q26x12,w1_q68x1,w1_q76x2,w1_q64x1,w1_q64x2,w1_q64x3,w1_q83x1,w1_q83x6,w1_q83x2,w1_q83x7,w1_q83x3,w1_q83x8,w1_q83x4,w1_q83x9,w1_q83x5,w1_q83x10,w1_q66x1,w1_q66x2,w1_q66x3,w1_q66x4,w1_q68x1,w1_q68x2,w1_q68x3,w2_q33,w2_q34x1,w2_q34x2,w2_q34x3,w2_q34x4,w2_q34x5,w2_q34x6,w2_q34x7,w2_q34x8,w2_q35R1,w2_q35R2,w2_q35R3,w2_q35R4,w2_q35R5,w2_q35R6,w2_q35R7,w2_q35R8,w2_q35R9,w2_q35R10,w2_q35R11,w2_q35R12,w2_q35R13,w2_q35R14,w2_q35R15,w2_q35R88,w2_q35R99,w2_q36,w2_q37x1,w2_q37x2,w2_q37x3,w2_q37x4,w2_q37x5,w2_q37x6,w2_q37x7,w2_q37x8,w2_q38R1,w2_q38R2,w2_q38R3,w2_q38R4,w2_q38R5,w2_q38R6,w2_q38R7,w2_q38R8,w2_q38R9,w2_q38R10,w2_q38R88,w2_q38R99,w2_q39x1,w2_q39x2,w2_q39x3,w2_q39x4,w2_q39x5,w2_q41,w2_q42x1,w2_q42x2,w2_q42x3,w2_q42x4,w2_q43R1,w2_q43R2,w2_q43R3,w2_q43R4,w2_q43R5,w2_q43R6,w2_q43R7,w2_q43R8,w2_q43R9,w2_q43R10,w2_q43R11,w2_q43R12,w2_q43R13,w2_q43R14,w2_q43R15,w2_q43R16,w2_q43R17,w2_q43R88,w2_q43R99,w2_q44,w2_q45,w2_q46,w2_q47,w2_q48,w2_q49,a_immigration_index
2346,1,69,7,3,2,9,3,,17000,,10000,2,,2,4,2,3,3,9,2,3,4,3,,8,,2,,7,,3,4,5,4,,3,4,,3,2,2,3,2,3,,5,4,4,2,3,3,3,5,4,2,3,4,4,,2,3,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
398,2,41,6,1,2,13,3,,21000,,22000,12,,3,7,,,4,4,8,1,2,,,8,,3,,5,,2,5,4,2,4,,2,4,2,2,4,3,1,1,2,5,4,5,1,4,1,1,5,5,2,3,5,4,1,2,3,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3363,2,23,7,3,,,3,1,20000,11000,20000,2,7,6,,,,4,6,4,,6,0,7,,4,,6,2,5,1,,,,3,4,2,2,2,1,2,3,2,,4,5,,,5,3,2,4,3,3,3,4,2,4,2,4,2,4,4,4,2,4,1,3,5,1,8,9,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,8,9,7,8,9,9,9,0,0,0,0,0,0,0,0,0,1,0,0,3,5,5,5,4,1,2,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,1,1,
930,2,45,7,1,2,,3,,10000,,15000,2,,2,4,,,5,5,5,2,5,,,6,,,,4,,2,0,5,2,5,,3,,1,2,,2,1,3,4,,3,5,,3,1,2,,5,3,4,,4,3,4,4,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4106,2,59,7,2,2,17,4,,11000,,10000,1,,1,5,1,3,8,4,0,0,0,0,,10,,1,,7,,3,5,2,2,3,3,3,3,3,4,2,2,3,2,2,1,3,5,3,3,1,1,5,5,1,1,5,5,1,4,3,4,4,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
652,2,57,7,2,2,,3,,11000,,16000,,,2,6,,,,,,,,,,7,,,,4,,1,3,3,,2,3,3,,2,2,2,3,2,3,2,5,3,4,,3,2,2,3,,2,4,,3,,2,4,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
651,1,74,7,2,,,3,,17000,,10000,2,,2,6,,,7,5,5,2,4,3,,7,,1,,4,,1,5,2,,,,4,5,2,,3,3,2,3,2,3,4,4,,4,2,4,2,3,2,3,4,4,2,4,1,,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
976,2,25,7,1,3,7,3,,13000,,11000,1,,1,5,,,5,5,,5,6,,,,,,6,2,,2,3,,,,2,3,2,2,4,3,4,3,,4,,4,5,,3,1,2,4,3,2,5,3,,,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2,34,7,2,2,12,3,,10000,,12000,2,,2,6,,,5,5,5,5,5,5,,8,,,,3,,3,4,1,4,4,,5,,,4,3,3,2,3,,5,5,2,1,4,2,3,4,4,1,3,4,2,,3,3,2,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
3634,1,35,10,2,2,12,2,,10000,,11000,1,,2,6,,,3,2,6,10,0,5,,6,,5,,4,,3,2,4,,3,4,,,2,,2,3,1,3,1,5,4,,1,5,2,3,3,5,1,3,4,2,2,,2,2,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1113,2,19,7,2,,,3,,10000,,13000,1,,2,,,,5,5,4,4,5,3,,5,,2,,3,,1,5,5,4,2,2,2,3,,5,2,4,3,3,2,4,2,,2,4,2,2,5,3,2,,3,4,2,2,3,2,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1037,2,17,4,2,4,,3,,13000,,13000,2,,2,,,,5,5,3,3,5,5,,6,,,,4,,1,5,,,2,2,3,2,,4,2,2,2,,2,3,4,3,,3,2,2,5,2,3,4,2,4,2,2,4,3,,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735,1,68,7,3,2,9,2,,22000,,12000,3,,2,6,3,2,5,5,10,5,0,5,,7,,3,,7,,2,1,5,4,2,,,5,2,,3,5,1,2,2,5,5,1,2,4,1,3,5,3,3,2,5,2,,2,1,,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
977,1,63,7,3,2,10,3,,11000,,99999,2,,2,5,,,4,7,4,3,4,4,,6,,2,,4,,3,4,4,5,5,3,,5,,4,3,3,2,,2,4,3,,,3,2,2,5,,1,3,4,4,,2,4,,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4655,2,36,8,1,1,,3,,20000,,20000,6,,2,3,6,1,3,3,0,2,10,2,,10,,6,,7,,1,5,4,,2,3,4,2,3,,2,2,3,4,1,3,5,5,1,3,2,1,5,4,2,4,3,5,1,1,2,2,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
270,2,47,9,1,2,9,2,2,17000,21000,10000,1,2,1,6,,,5,6,5,2,4,6,2,6,4,9,,6,5,3,4,4,,,4,2,,,,2,4,2,2,,5,3,5,1,4,1,2,3,4,2,4,5,4,2,2,2,2,4,,2,3,2,3,9,9,3,8,9,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,9,8,8,9,9,8,0,0,0,0,0,0,0,0,0,1,0,0,5,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4
397,1,56,7,1,2,13,2,2,10000,99999,17000,2,,2,5,,,4,5,4,1,2,6,8,6,4,,,6,6,,4,3,5,4,,4,4,3,,4,3,2,,2,5,2,,2,2,4,4,3,5,1,4,2,2,4,3,3,2,4,2,,,2,6,3,9,9,9,9,9,8,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,3,9,1,8,8,1,1,8,0,0,0,0,0,0,0,0,1,0,0,0,5,3,3,5,5,4,5,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,,,,
3362,1,16,4,3,4,,3,,,,,,,,,,,4,4,6,2,3,2,,,,,3,3,,,,,2,,5,,2,2,4,2,2,,2,3,5,4,4,1,5,1,1,4,3,,4,,4,2,4,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4721,1,76,7,2,2,,3,,10000,,22000,1,,3,5,9,2,6,7,7,8,6,10,,1,,,9,1,,3,1,4,2,3,5,,3,2,,3,4,2,2,3,4,3,4,5,4,2,2,4,2,5,1,4,1,3,3,3,,4,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3219,1,66,10,3,,,3,,17000,,11000,2,,1,,9,3,4,6,5,3,4,7,,6,,9,,5,,2,2,5,5,5,4,4,5,2,,,4,2,,3,5,2,,2,2,3,4,5,5,2,,5,3,,,2,,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,1,29,11,3,2,,2,,77777,,12000,2,,2,4,1,3,6,5,3,4,4,,,7,,1,,7,,1,2,3,5,4,3,4,,2,2,3,4,2,,2,4,,4,1,3,3,4,4,5,1,2,4,,,2,2,2,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3364,2,72,6,5,3,5,3,,11000,,10000,2,,1,5,,,,,,,,,,6,,,,6,,,2,1,5,,3,4,,2,,4,,1,2,,,5,5,2,5,1,2,2,,,4,4,3,5,2,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
3315,2,33,9,1,2,10,3,,13000,,10000,1,,1,5,,,7,5,4,,5,3,,,,,1,4,,,,4,4,5,4,2,3,3,,4,3,2,,,3,,5,,3,2,3,5,5,2,4,,5,3,2,3,3,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,2,19,6,2,2,,3,,13000,,18000,1,,2,,,,6,5,4,3,6,4,,7,,,,3,,1,5,,2,,2,4,2,2,2,3,3,3,3,,3,4,5,2,4,2,2,,2,3,,,4,2,2,4,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1115,1,37,4,1,4,4,4,,10000,,22000,1,,3,,,,6,1,8,3,1,1,,1,,,3,4,,2,3,,2,2,4,4,5,3,,,4,1,1,2,5,4,,1,5,3,4,5,2,3,3,4,1,5,,1,,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
905,2,39,7,3,,,4,4,10000,,11000,1,,1,6,,,8,4,4,3,3,0,,5,1,1,,4,2,2,3,4,5,4,,3,5,,3,,4,2,3,3,,,5,,4,2,2,2,4,2,,,,,3,4,3,4,3,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3.5
3746,1,17,6,2,,,4,,,,,,,,5,,,5,5,5,5,5,,,0,,,12,1,,1,10,2,1,3,5,1,1,3,1,1,1,3,5,4,1,3,5,5,1,1,5,5,5,1,1,4,5,1,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3311,2,64,6,1,2,,3,,,,,,,,5,,,,,,,3,3,,10,,,,7,,2,2,2,,4,2,2,2,,5,,3,1,2,3,5,4,,1,4,2,3,,5,3,3,4,5,1,4,3,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
245,2,25,9,2,2,9,4,,10000,,11000,,,,4,,,5,5,4,3,5,,,7,,,,4,,1,,2,5,,,2,2,,4,2,3,2,,3,4,4,4,2,2,2,4,3,2,1,5,2,4,2,4,2,2,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,2,25,9,1,2,12,3,,10000,,10000,2,,2,5,,,6,7,4,3,6,3,,,,,,7,,,5,2,,5,,,,,5,5,1,1,4,2,5,,,2,,3,4,,,2,4,,,,2,3,3,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
1112,2,72,7,3,3,6,4,,,,,,,,5,,,5,5,7,4,3,0,,3,,,3,2,,3,0,,1,2,3,5,5,2,,4,5,1,2,,5,4,,1,4,2,2,5,3,,2,4,4,,,4,,4,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
3361,2,21,6,3,,,4,,13000,,10000,1,,1,5,,,5,5,5,5,5,,,,,,,3,,,4,,3,,3,2,2,,4,2,3,2,,3,4,4,,2,3,2,2,5,5,2,4,,3,3,3,4,,4,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,2,45,9,3,2,,3,,17000,,99999,,,,5,,,5,5,,,6,,,6,,6,,7,,3,4,2,4,4,,,2,,5,3,3,2,4,,5,,5,,3,3,3,,3,2,4,2,4,2,3,3,4,4,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1000,2,33,7,1,3,5,3,,,,,,,,,,,6,4,5,2,7,,,,,,,3,,3,4,,,3,2,2,4,2,3,,4,2,,,4,4,5,1,4,2,3,5,4,,5,3,,,4,4,4,4,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,1,61,7,2,2,,2,,10000,,17000,9,,9,5,1,3,5,0,4,0,0,5,,10,,,,6,,2,2,4,1,1,4,4,4,3,2,4,3,2,2,3,5,5,1,4,3,3,4,2,2,2,3,2,5,1,2,2,,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1015,2,59,4,1,3,6,3,,16000,,10000,,,2,5,,,6,4,4,3,4,3,,6,,1,,5,,3,5,5,4,,3,5,4,2,,2,,2,,2,5,2,,2,4,1,3,3,4,2,4,3,2,3,,4,,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3748,1,73,7,2,3,6,4,,,,,,,,5,,,0,1,2,2,0,0,,10,,12,,6,,2,1,2,3,2,3,5,5,3,2,4,5,1,2,4,5,4,3,2,1,1,5,5,5,2,1,3,4,1,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
162,2,62,7,1,,6,3,,11000,,13000,1,,2,6,3,2,5,3,10,1,2,5,,7,,3,,7,,3,5,3,2,3,3,4,2,2,,,5,2,,,5,5,5,1,4,1,3,3,5,2,3,4,4,2,1,3,,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,1,64,4,3,2,,3,,10000,,10000,2,,1,4,1,3,8,3,3,1,6,3,,,,,1,4,,3,3,,,4,4,2,2,3,,4,2,3,,1,2,4,5,1,3,3,4,5,3,,4,5,4,,3,3,,4,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,1,56,8,2,2,,4,,17000,,11000,9,,2,5,,,5,,1,2,2,6,,6,,,,4,,1,5,,,,2,4,,2,,2,3,1,3,2,4,2,,3,3,2,3,5,3,3,2,2,5,1,4,4,4,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3824,1,62,7,1,,9,3,3,17000,11000,10000,12,6,12,6,1,2,9,6,3,2,4,3,1,6,4,1,,7,6,3,3,1,4,5,,,5,2,3,,5,2,,,,2,,,3,3,1,5,3,3,4,4,2,,,2,,3,,4,2,3,8,8,3,3,8,8,9,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,8,8,2,2,9,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,,,,
1111,1,48,9,2,2,11,3,,16000,,10000,,,1,5,,,6,6,5,3,6,5,,,,,2,4,,1,4,,4,,4,,5,,4,3,3,2,,4,3,5,5,5,4,3,3,5,5,2,4,5,4,,,3,3,,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2965,2,17,4,2,4,,3,,13000,,20000,6,,6,,6,2,,,,,8,3,,7,,6,,4,,1,,,2,2,2,4,,3,5,2,2,,,3,3,,5,,4,1,2,3,2,,4,3,5,1,3,4,2,,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3825,1,74,6,1,2,,4,,,,,,,,5,1,2,10,4,2,1,4,1,,10,,1,,7,,3,5,,5,2,5,,4,,5,,4,1,2,1,5,3,,5,2,3,3,4,5,1,2,4,2,4,4,2,,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
3747,1,32,7,2,2,7,4,,,,,,,,5,,,4,4,0,0,0,4,,1,,,12,0,,2,0,2,4,3,3,3,1,3,1,4,3,3,3,4,3,3,3,2,1,1,3,5,4,2,1,4,3,1,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3729,2,20,8,1,,,3,,13000,,13000,2,,2,5,,,,7,4,,7,6,,6,,2,,4,,1,6,,,,3,1,1,,5,2,3,2,5,3,4,4,5,2,4,1,1,4,3,2,4,3,4,2,3,2,1,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
1118,1,58,4,3,,5,3,,10000,,15000,2,,2,4,,,4,6,4,4,5,3,,7,,2,,7,,3,4,3,5,5,5,5,,2,2,4,2,2,,4,,2,5,,5,2,3,,2,2,2,,2,4,2,2,,3,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,2,54,7,1,2,,4,4,11000,11000,13000,1,1,1,5,1,3,8,4,0,0,2,1,,4,2,,1,4,3,3,,4,2,,,5,4,2,,,3,2,,,,,5,1,2,4,2,2,2,2,3,2,3,2,4,4,4,2,,,3,2,5,9,3,4,8,9,9,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,8,8,8,8,8,8,0,0,0,0,0,0,0,0,1,0,0,0,2,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
3313,2,20,8,1,,,4,,,,,,,,5,,,,,,5,5,,,5,,,,7,,3,,4,2,,1,2,2,3,4,1,3,,,3,4,4,4,1,3,2,2,,,2,5,2,5,2,4,4,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462,1,76,4,2,2,6,3,,22000,,,3,,,8,3,3,0,1,10,6,3,0,,10,,3,,5,,2,0,2,1,1,2,5,3,1,3,1,5,1,1,4,5,5,1,3,2,1,4,4,5,2,1,3,2,2,3,2,,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
800,1,61,7,1,2,,2,,17000,,77777,1,,,5,1,2,10,3,2,1,2,6,,8,,1,,7,,2,1,3,,4,4,4,2,3,2,4,3,2,,3,5,3,,2,2,3,2,4,2,2,2,4,5,2,2,3,1,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3314,2,72,4,2,3,5,3,,16000,,11000,,,1,5,,,5,5,,,5,3,,5,,,,4,,3,5,4,3,,4,5,,2,,,2,3,3,3,,,,2,4,1,1,2,,2,4,3,2,,3,3,,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4359,1,72,7,5,2,8,2,,17000,,12000,11,,11,6,3,2,4,5,8,1,2,1,,9,,3,,7,,2,2,1,5,3,,,5,2,,4,4,1,1,2,5,2,5,,4,3,4,4,4,1,4,4,3,4,3,1,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1016,1,25,6,1,,,4,,99999,,10000,2,,1,6,,,7,5,7,5,2,3,,5,,3,,4,,3,2,5,4,5,,2,,2,4,3,4,1,2,2,5,,,,4,3,2,,3,2,5,4,,,2,3,3,3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
975,2,48,6,1,2,11,3,,11000,,17000,,,1,5,,,5,6,4,4,5,4,,7,,2,,5,,3,4,5,4,4,,4,2,,,2,3,2,,3,5,5,,2,3,2,2,,5,2,4,4,,,2,3,4,4,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4105,2,74,7,2,2,6,4,,,,,,,,5,1,3,10,8,0,0,0,0,,10,,1,,6,,1,6,2,3,3,3,4,1,5,4,3,5,5,3,4,3,5,2,4,2,1,3,5,5,1,1,4,5,1,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4103,1,76,4,2,2,7,4,,11000,,,1,,,5,1,3,8,4,0,0,0,0,,10,,1,,6,,3,5,3,2,1,4,3,2,2,3,1,3,3,3,4,2,4,4,5,2,2,3,4,4,2,2,3,3,2,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3312,2,18,7,1,3,,4,,,,,,,,,,,,,5,,,1,,,,,,7,,1,,,,5,2,3,,3,4,4,2,2,,1,3,3,,2,5,1,2,4,5,3,5,3,4,1,3,3,3,4,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2,24,7,2,2,,4,,,,,,,,5,,,6,6,4,2,6,3,,5,,,,7,,1,5,4,5,4,4,4,,,1,4,2,3,,2,4,2,5,1,3,1,1,5,3,2,2,2,5,2,4,4,2,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,2,72,6,2,2,,3,,10000,,17000,2,,2,5,2,2,4,8,4,3,3,5,,7,,2,,7,,3,3,4,,5,3,5,5,2,,,,3,3,,4,,,2,2,3,3,2,5,1,3,4,5,2,1,3,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1028,2,48,7,2,,12,4,,,,,,,,5,,,7,3,5,3,4,6,,5,,,,4,,1,2,2,4,4,2,5,3,2,2,5,4,1,,2,,2,,,4,1,2,5,5,2,3,,4,,3,4,2,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
